"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","date.x","local.x","GLORIA_ID","tss.x","chla.x","dif_days","region.x","sensor","Class","region","Date","blue","green","red","nir","swir16","swir22","QA","Image_Name"
"1",NA,NA,0.004434847292763,0.006614274690259,0.003796250377867,0.000452052782369,0.01,0.011224402361556,0.013115163085488,0.007337838651252,0.004081528515592,"1125532800","Nechad_Matchups_North_Sea","AGID_1036",3.16,4.61,0,"Germany","TM","2","Germany",2005-09-01,8555,8771,8111,7739,7502,7333,5504,"LT05_L2SP_197022_20050901_02_T1"
"2",NA,NA,0.004434847292763,0.006614274690259,0.003796250377867,0.000452052782369,0.01,0.011224402361556,0.013115163085488,0.007337838651252,0.004081528515592,"1125532800","Nechad_Matchups_North_Sea","AGID_1036",3.16,4.61,0,"Germany","TM","2","Germany",2005-09-01,8555,8771,8111,7739,7502,7333,5504,"LT05_L2SP_197022_20050901_02_T1"
"3",NA,NA,0.003863974395409,0.007888506137885,0.001819130983897,9.9498479e-08,0.01,0.005779711758382,0.008860951456641,0.001805612829378,0.001858133960598,"1289260800","PACE","AGID_1465",NA,NA,1,"US","TM",NA,"US",2010-11-09,7933,8285,7479,7485,7298,7183,5504,"LT05_L2SP_020039_20101110_02_T1"
"4",NA,NA,0.002145465824709,0.002826374735928,0.001173239831566,1.01393296e-07,0.01,0.004492944043484,0.004930620136987,0.001324169126525,0.002409605838411,"1289260800","PACE","AGID_1577",NA,NA,1,"US","TM",NA,"US",2010-11-09,7786,7836,7424,7548,7202,7359,5504,"LT05_L2SP_020039_20101110_02_T1"
