"","secchi.x","CA_insitu","blue_insit","green_insi","red_insitu","nir_insitu","CA","Blue","Green","Red","NIR","local.x","GLORIA_ID","region.x","sensor","Class","region"
"29",NA,NA,0.005995367463363,0.014508114342667,0.012110910044381,0.00164879209497,0.01,0.012388620770273,0.018437304382481,0.018454811426221,0.007416620348082,"Altamaha River, GA","GID_4808","United States of America (the)","TM","5","US"
"30",NA,NA,0.008359002869665,0.019076812937241,0.02048147095036,0.005776779471631,0.01,0.013964254706883,0.018769938213543,0.018699910038582,0.007670472482314,"Altamaha River, GA","GID_4809","United States of America (the)","TM","7","US"
"31",0.55,NA,0.010477003430723,0.017493834269736,0.013058293442456,0.001567922334976,0.01,0.011968451720511,0.016030085868216,0.01996041718787,0.007250303432551,"Altamaha River, GA","GID_4816","United States of America (the)","TM","4","US"
"32",0.55,NA,0.012416969864576,0.005629155145769,0.001599644593871,0.001141326777704,0.01,0.006173620242535,0.011128113620985,0.008178176750777,0.008116902097687,"Lake Manawa, IA","GID_5041","United States of America (the)","TM","1","US"
"33",0.78,NA,0.010223974168787,0.01258354141557,0.006339816876211,0.000674777450829,0.01,0.015977564736995,0.023864487941914,0.020319311584542,0.020258036931452,"Carter Lake, NE","GID_5048","United States of America (the)","TM","3","US"
"34",2.736,NA,0.01378947576098,0.022428616559506,0.020155986854984,0.005202309864279,0.01,0.013657881441431,0.023768199201344,0.022245086395954,0.023523100588982,"Carl Blackwell Lake, OK","GID_5129","United States of America (the)","TM","4","US"
"35",1.5808,NA,0.014770501619573,0.022808375298026,0.018329679207198,0.003978588372713,0.01,0.016135128130656,0.027287114993105,0.029886910988512,0.02474859365079,"Carl Blackwell Lake, OK","GID_5130","United States of America (the)","TM","4","US"
"36",3.2832,NA,0.015490925338012,0.022164524583462,0.021451968649992,0.009983706457676,0.01,0.018682402994842,0.033370812692793,0.045109285520536,0.035611714291527,"Lake Perry, OK","GID_5139","United States of America (the)","TM","4","US"
"37",NA,NA,0.005567959793842,0.007019919348101,0.004156578933391,0.000456775419731,0.01,0.011802134804979,0.013228958869798,0.008554578191189,0.007758007701014,"Chesapeake Bay, MD","GID_5166","United States of America (the)","TM","2","US"
"38",NA,NA,0.005380514962444,0.006921962312941,0.00391811821809,0.000439452768897,0.01,0.011093099533505,0.011775874239369,0.008537071147449,0.006261155461235,"Chesapeake Bay, MD","GID_5168","United States of America (the)","TM","2","US"
"39",NA,NA,0.004478733685809,0.006417294978816,0.004146728717338,0.000482403001237,0.01,0.007294071041902,0.008248204925737,0.005569627233501,0.004405408824784,"Chesapeake Bay, MD","GID_5170","United States of America (the)","TM","2","US"
"40",NA,NA,0.006271699905444,0.009208318815019,0.006093316898966,0.000762686405419,0.01,0.008116902097687,0.011346951667737,0.006847641426529,0.004405408824784,"Chesapeake Bay, MD","GID_5171","United States of America (the)","TM","2","US"
"41",NA,NA,0.007274261183545,0.010758857506581,0.007085603197515,0.000841601128479,0.01,0.008939733153472,0.011346951667737,0.008108148575817,0.004396655302914,"Chesapeake Bay, MD","GID_5172","United States of America (the)","TM","2","US"
"42",NA,NA,0.007018406286624,0.010525443777723,0.007022325994107,0.000896351082798,0.01,0.010760465702443,0.013036381388657,0.009508712075025,0.006007303327004,"Chesapeake Bay, MD","GID_5173","United States of America (the)","TM","2","US"
