ID,region,lat,long,Date,dif_days,tss,chla,secchi,sensor,Class,CA_insitu,Blue_insitu,Green_insitu,Red_insitu,NIR_insitu,CA_satellite,Blue_satellite,Green_satellite,Red_satellite,NIR_satellite
GID_5041,US,41.20445,-95.85346667,7/1/2008,-1,18.4,NA,0.55,TM,1,NA,0.01241697,0.005629155,0.001599645,0.001141327,0.01,0.00617362,0.011128114,0.008178177,0.008116902
GID_5048,US,41.28938333,-95.90461667,5/5/2008,-1,15.2,NA,0.78,TM,3,NA,0.010223974,0.012583541,0.006339817,0.000674777,0.01,0.015977565,0.023864488,0.020319312,0.020258037
GID_5129,US,36.13121389,-97.25432778,7/24/2008,-1,20.36192939,NA,2.736,TM,4,NA,0.013789476,0.022428617,0.020155987,0.00520231,0.01,0.013657881,0.023768199,0.022245086,0.023523101
GID_5130,US,36.14046944,-97.26916944,7/24/2008,-1,16.36709474,NA,1.5808,TM,4,NA,0.014770502,0.022808375,0.018329679,0.003978588,0.01,0.016135128,0.027287115,0.029886911,0.024748594
GID_5139,US,36.24866667,-97.33744722,7/24/2008,-1,3.768581576,NA,3.2832,TM,4,NA,0.015490925,0.022164525,0.021451969,0.009983706,0.01,0.018682403,0.033370813,0.045109286,0.035611714
GID_5166,US,38.2453,-76.26886,10/19/2009,0,NA,4.746,NA,TM,2,NA,0.00556796,0.007019919,0.004156579,0.000456775,0.01,0.011802135,0.013228959,0.008554578,0.007758008
GID_5168,US,38.4434,-76.43741,10/19/2009,0,NA,3.174,NA,TM,2,NA,0.005380515,0.006921962,0.003918118,0.000439453,0.01,0.0110931,0.011775874,0.008537071,0.006261155
GID_5170,US,38.9954,-76.36118,10/20/2009,-1,NA,4.405,NA,TM,2,NA,0.004478734,0.006417295,0.004146729,0.000482403,0.01,0.007294071,0.008248205,0.005569627,0.004405409
GID_5171,US,39.0311,-76.36763,10/20/2009,-1,NA,5.498,NA,TM,2,NA,0.0062717,0.009208319,0.006093317,0.000762686,0.01,0.008116902,0.011346952,0.006847641,0.004405409
GID_5172,US,39.0459,-76.40063,10/20/2009,-1,NA,5.079,NA,TM,2,NA,0.007274261,0.010758858,0.007085603,0.000841601,0.01,0.008939733,0.011346952,0.008108149,0.004396655
GID_5173,US,39.0624,-76.44771,10/20/2009,-1,NA,7.672,NA,TM,2,NA,0.007018406,0.010525444,0.007022326,0.000896351,0.01,0.010760466,0.013036381,0.009508712,0.006007303
GID_5496,US,30.125,-88.077,5/25/2001,0,NA,8.07573,2.5,TM,1,NA,0.006276671,0.006685516,0.003533607,-6.42E-05,0.01,0.011942191,0.011732107,0.009692536,0.008992254
GID_5529,US,30.1343,-88.0849,12/3/2001,0,NA,1.08202,NA,TM,3,NA,0.01222575,0.011822588,0.004689444,6.17E-05,0.01,0.011040578,0.014008022,0.005473338,8.99E-05
GID_5655,US,27.2385,-82.6241,2/6/2001,0,NA,0.9366,NA,TM,3,NA,0.012402697,0.009784461,0.003120306,0.000807044,0.01,0.018323509,0.015898783,0.004081529,0.002322071
GID_6205,Bahamas,25.471,-78.172,4/15/1999,2,NA,0.1638,NA,TM,1,NA,0.043945633,0.021320897,0.001202974,5.12E-05,0.01,0.041861729,0.031208693,0.004746796,0.004379148
GID_6206,Bahamas,25.471,-78.172,4/15/1999,2,NA,0.1856,NA,TM,1,NA,0.04081425,0.022730654,0.001904021,3.70E-05,0.01,0.041861729,0.031208693,0.004746796,0.004379148
GID_6207,Bahamas,25.471,-78.181,4/15/1999,2,NA,0.161,NA,TM,3,NA,0.018138478,0.014628691,0.002466995,-3.27E-05,0.01,0.029895665,0.025571425,0.004746796,0.003039859
GID_6208,Bahamas,25.488,-78.225,4/17/1999,0,NA,0.1946,NA,TM,3,NA,0.0165164,0.014127329,0.002232965,-7.89E-06,0.01,0.023505594,0.022735284,0.00475555,0.004396655
GID_6334,US,35.2506,-76.051,10/19/2005,-2,NA,6.13,NA,TM,NA,NA,0.003677744,0.005807808,0.003559844,0.000204522,0.01,0.007372853,0.009963895,0.00522824,0.002418359
GID_6440,Netherlands,52.65943333,5.463066667,6/9/2004,-1,NA,22.98933333,NA,TM,5,NA,0.009594616,0.022640164,0.01447362,0.000516476,0.01,0.018909995,0.022455171,0.015776234,0.015268529
GID_6441,Netherlands,52.64348333,5.492583333,6/9/2004,-1,NA,12.12533333,NA,TM,2,NA,0.010120163,0.0167401,0.01071516,0.000603171,0.01,0.020275544,0.023829474,0.017964614,0.017850818
GID_6468,Netherlands,52.8997,5.18405,8/4/2004,0,NA,55.828,NA,TM,5,NA,0.014575974,0.031695428,0.023150652,0.001304897,0.01,0.01484836,0.019662797,0.015058445,0.011933438
GID_6484,Netherlands,52.61658333,5.6331,9/7/2004,-2,NA,NA,NA,TM,4,NA,0.019817292,0.031677938,0.027036358,0.001034987,0.01,0.022288854,0.024879896,0.018542347,0.017982121
GID_6485,Netherlands,52.62413333,5.569633333,9/7/2004,-2,NA,NA,NA,TM,4,NA,0.023793369,0.037204848,0.031430049,0.001214766,0.01,0.020065459,0.020660699,0.016826656,0.01422686
GID_6486,Netherlands,52.62708333,5.54105,9/7/2004,-2,NA,68.22,NA,TM,4,NA,0.01578007,0.027227292,0.023195689,0.000844778,0.01,0.014515727,0.016310199,0.011819642,0.008589592
GID_6487,Netherlands,52.66221667,5.536033333,9/7/2004,-2,NA,65.122,NA,TM,4,NA,0.010157519,0.018269101,0.017461626,0.000741506,0.01,0.016896685,0.021413502,0.01589003,0.011084346
GID_6488,Netherlands,52.73723333,5.540583333,9/7/2004,-2,NA,80.68,NA,TM,4,NA,0.017013432,0.026213941,0.020589871,0.000805184,0.01,0.018087164,0.023549361,0.015977565,0.009316135
GID_6489,Netherlands,52.77951667,5.542316667,9/7/2004,-2,NA,64.85538462,NA,TM,5,NA,0.013100358,0.024926884,0.021952775,0.00137288,0.01,0.013867966,0.019435206,0.011171881,0.007460388
GID_6490,Netherlands,52.75671667,5.473633333,9/7/2004,-2,NA,46.58909091,NA,TM,5,NA,0.010735225,0.021546298,0.018690998,0.001174156,0.01,0.013141424,0.019654044,0.012948846,0.007617951
GID_6491,Netherlands,52.74228333,5.425333333,9/7/2004,-2,NA,61.78285714,NA,TM,5,NA,0.010038704,0.019269333,0.016705742,0.001122846,0.01,0.012432388,0.017859572,0.010016416,0.005989796
GID_6492,Netherlands,52.73453333,5.391833333,9/7/2004,-2,NA,89.16666667,NA,TM,5,NA,0.020259342,0.035486495,0.02770693,0.002487077,0.01,0.011679585,0.018052149,0.008650867,0.004344134
GID_6500,Netherlands,52.95638333,5.237666667,9/7/2004,-2,NA,61.21090909,NA,TM,5,NA,0.02475236,0.045503349,0.035087993,0.00318371,0.01,0.019303903,0.025072474,0.017343114,0.010454092
GID_6501,Netherlands,52.95476667,5.292483333,9/7/2004,-2,NA,97.996,NA,TM,5,NA,0.027972443,0.052727205,0.041790148,0.004025159,0.01,0.021395995,0.027103291,0.018971269,0.014069297
AGID_1068,Germany,53.98759,8.4823,7/4/2006,-1,5.79,6.5,NA,ETM+,2,NA,0.004131667,0.007044039,0.004333534,0.000525958,0.01,0.008922226,0.011548283,0.006777613,0.001219127
AGID_1074,Germany,53.98769,8.46693,7/26/2006,0,6.81,8.46,NA,ETM+,4,NA,0.004332946,0.007649642,0.005184256,0.000728267,0.01,0.008326987,0.01005143,0.006304923,0.001831873
AGID_1076,Germany,54.0304,8.222,7/26/2006,0,4.48,5.54,NA,ETM+,2,NA,0.003389652,0.005634435,0.002988496,0.000355357,0.01,0.006865148,0.007145261,0.003083627,0.001700571
AGID_1077,Germany,54.07593,8.10586,7/26/2006,0,3.81,4.03,NA,ETM+,3,NA,0.003378852,0.005221087,0.002488751,0.000287361,0.01,0.007013958,0.00726781,0.003792662,0.001770599
AGID_1078,Germany,54.12486,7.98662,7/26/2006,0,2.38,2.44,NA,ETM+,3,NA,0.002708177,0.004062621,0.001800856,0.000224631,0.01,0.005928522,0.00599855,0.003258697,0.000510092
AGID_1170,US,30.418,-86.186,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003087752,0.006739202,0.004943295,1.85E-07,0.01,0.007758008,0.008720895,0.005429571,0.00291731
AGID_1174,US,30.4359,-86.4528,8/24/2011,2,NA,NA,NA,ETM+,NA,NA,0.003023836,0.004901913,0.002531136,7.79E-08,0.01,0.007652965,0.006865148,0.003171162,0.002111986
